Model,Coefficient (Alcohol),Standard Error,CI Lower,CI Upper
3(a) OLS (Truncated Sample),-79.03170722058854,9.879189459285985,-98.39491856078908,-59.66849588038801
3(c) Truncated MLE,-79.03612756523002,1.003130638121435,-81.00226361594802,-77.06999151451201
4(a) OLS (Censored Sample),-91.44746982967492,9.854045808018281,-110.76139961339075,-72.13354004595908
4(c) Censored MLE,-91.47530184636109,1.0530719243006013,-93.53932281799027,-89.41128087473191
5(a) OLS (Full Data),-97.74735051378494,11.261160261079377,-119.81922462550051,-75.67547640206936
